timestamp,temp.air.ambient.c,par.ambient.umol_m2_s,h2o.irga.ambient.mmol_mol,co2.irga.ambient.umol_mol
2021-03-25 00:06:38,8.074813,-3.282332,10.47615,405.4908
2021-03-25 00:06:40,8.084532,-4.011738,10.46251,406.2002
2021-03-25 00:06:42,8.065092,-4.011738,10.47615,405.218
2021-03-25 00:06:44,8.046764,-4.011738,10.48979,405.5454
2021-03-25 00:06:46,8.037044,-4.011738,10.46251,404.8907
2021-03-25 00:06:48,8.054259,-4.011738,10.46251,405.0544
2021-03-25 00:06:50,8.066204,-4.011738,10.50343,405.6545
2021-03-25 00:06:52,8.078385,-4.011738,10.51707,405.9819
2021-03-25 00:06:54,8.074813,-4.376442,10.50343,405.3817
2021-03-25 00:06:56,8.066441,-3.282332,10.51707,405.7637
2021-03-25 00:06:58,8.066204,-3.282332,10.51707,405.8182
2021-03-25 00:07:00,8.038157,-4.011738,10.53071,405.6545
2021-03-25 00:07:02,8.074813,-3.282332,10.53071,404.9452
2021-03-25 00:07:04,8.056484,-3.282332,10.50343,406.5276
2021-03-25 00:07:06,8.092026,-3.282332,10.50343,405.4363
2021-03-25 00:07:08,8.092026,-3.282332,10.47615,405.6545
2021-03-25 00:07:10,8.0684,-2.917628,10.50343,406.2002
2021-03-25 00:07:12,8.073699,-3.647035,10.48979,405.4908
2021-03-25 00:07:14,8.057597,-4.011738,10.47615,406.2274
2021-03-25 00:07:16,8.092026,-4.011738,10.50343,405.7637
2021-03-25 00:07:18,8.073699,-3.647035,10.51707,404.4269
2021-03-25 00:07:20,8.110352,-3.647035,10.50343,404.8361
2021-03-25 00:07:22,8.081193,-3.647035,10.54435,405.4363
2021-03-25 00:07:24,8.065092,-3.647035,10.53071,405.5727
2021-03-25 00:07:26,8.073699,-4.011738,10.51707,406.091
2021-03-25 00:07:28,8.092026,-4.011738,10.51707,405.7637
2021-03-25 00:07:30,8.065092,-4.376442,10.53071,405.791
2021-03-25 00:07:32,8.072586,-4.011738,10.48979,405.409
2021-03-25 00:07:34,8.028437,-4.011738,10.47615,404.7815
2021-03-25 00:07:36,8.063979,-4.011738,10.48979,405.4908
2021-03-25 00:07:38,8.065123,-3.647035,10.50227,404.9937
2021-03-25 00:07:40,8.090943,-4.376442,10.50227,404.7755
2021-03-25 00:07:42,8.055403,-3.647035,10.50227,405.4029
2021-03-25 00:07:44,8.064011,-3.282332,10.51591,405.7575
