timestamp,RECORD,batt_volt,PTemp,TcRafat(1),TcRafat(2),TcRafat(3),TcRafat(4),TcRafat(5),TcRafat(6)
2020-08-15 20:18:12,91340,12.51479,31.72191,22.15465,22.55045,22.19043,22.01579,25.2661,27.05136
2020-08-15 20:18:14,91341,12.53701,31.68576,22.08967,22.55045,22.13158,22.0593,25.23259,26.9421
2020-08-15 20:18:16,91342,12.50924,31.68576,22.07763,22.5337,22.14834,21.97772,25.20086,26.99189
2020-08-15 20:18:18,91343,12.53146,31.68576,21.99746,22.51695,22.21331,21.98226,25.14256,26.96839
2020-08-15 20:18:20,91344,12.5259,31.68576,21.96549,22.33268,22.15513,21.93196,25.16596,26.97512
2020-08-15 20:18:22,91345,12.52035,31.72191,22.10121,22.48345,22.18502,21.92201,25.1493,27.01818
2020-08-15 20:18:24,91346,12.51479,31.68576,22.1232,22.50492,22.14675,22.00377,25.08628,26.93832
2020-08-15 20:18:26,91347,12.5259,31.68576,22.14834,22.41663,22.16666,21.96026,25.15292,26.96028
2020-08-15 20:18:28,91348,12.50368,31.68576,22.17348,22.48048,22.12476,21.89544,25.1448,26.9269
2020-08-15 20:18:30,91349,12.50368,31.68576,22.16826,22.32586,22.13335,21.92357,25.15089,26.96164
2020-08-15 20:18:32,91350,12.52035,31.68576,22.16213,22.33268,22.1232,21.93057,25.12276,26.93675
2020-08-15 20:18:34,91351,12.5259,31.68576,22.15513,22.33494,22.2337,21.8619,25.16235,26.99329
2020-08-15 20:18:36,91352,12.5259,31.68576,22.17348,22.38153,22.15513,21.91702,25.13942,26.95715
2020-08-15 20:18:38,91353,12.50368,31.68576,22.11482,22.34106,22.26269,21.95711,25.16441,26.94504
2020-08-15 20:18:40,91354,12.51479,31.68576,22.0593,22.31593,22.25431,21.9807,25.16441,26.9518
2020-08-15 20:18:42,91355,12.50368,31.68576,22.02102,22.27245,22.30073,22.00443,25.21122,26.98341
2020-08-15 20:18:44,91356,12.50368,31.68576,21.92721,22.29758,22.2489,22.01264,25.2031,26.95715
2020-08-15 20:18:46,91357,12.53701,31.68576,21.88529,22.25569,22.22376,21.99765,25.16441,27.013
2020-08-15 20:18:48,91358,12.53146,31.68576,21.84495,22.2892,22.22376,21.93719,25.15921,26.99014
2020-08-15 20:18:50,91359,12.5259,31.68576,21.78624,22.33268,22.1232,21.94716,25.22787,26.98653
2020-08-15 20:18:52,91360,12.52035,31.68576,21.77785,22.34626,22.06134,21.93719,25.20447,27.03183
2020-08-15 20:18:54,91361,12.53146,31.68576,21.76267,22.37682,22.02261,21.91362,25.17948,27.00001
2020-08-15 20:18:56,91362,12.53146,31.68576,21.74272,22.36619,21.97072,21.86013,25.17274,26.99864
2020-08-15 20:18:58,91363,12.51479,31.68576,21.71075,22.38136,21.97231,21.86331,25.17948,26.96682
2020-08-15 20:19:00,91364,12.5259,31.68576,21.72912,22.35464,21.82138,21.82818,25.2128,26.98499
2020-08-15 20:19:02,91365,12.52035,31.68576,21.70077,22.34626,21.87849,21.7894,25.21122,26.94035
2020-08-15 20:19:04,91366,12.51479,31.68576,21.73592,22.4284,21.90906,21.7459,25.19456,26.96009
2020-08-15 20:48:40,92254,12.52082,30.91311,20.41153,21.18678,21.88515,21.69871,24.41194,26.84549
2020-08-15 20:48:42,92255,12.51526,30.91311,20.32432,21.10851,21.81244,21.69186,24.40668,26.92284
2020-08-15 20:48:44,92256,12.53193,30.87922,20.28381,21.03562,21.85436,21.60643,24.40514,26.94621
2020-08-15 20:48:46,92257,12.51526,30.87922,20.19813,20.99092,21.81928,21.64193,24.40514,26.80399
2020-08-15 20:48:48,92258,12.53193,30.87922,20.16171,20.96157,21.92144,21.64623,24.4036,26.95085
2020-08-15 20:48:50,92259,12.50971,30.91311,20.15761,20.92957,21.92667,21.68818,24.45401,26.85805
2020-08-15 20:48:52,92260,12.48193,30.91311,20.16602,20.99678,21.85959,21.66831,24.42863,26.92284
2020-08-15 20:48:54,92261,12.50971,30.87922,20.16448,20.96318,21.79566,21.71492,24.43697,26.92284
2020-08-15 20:48:56,92262,12.51526,30.87922,20.13236,20.86915,21.79251,21.6714,24.55932,26.87464
2020-08-15 20:48:58,92263,12.4986,30.87922,20.06188,20.88757,21.80405,21.59435,24.49067,26.9383
2020-08-15 20:49:00,92264,12.51526,30.87922,20.02821,20.93481,21.75896,21.63315,24.54538,26.8916
2020-08-15 20:49:02,92265,12.4986,30.87922,19.98613,20.8676,21.7438,21.62637,24.58861,26.81495
2020-08-15 20:49:04,92266,12.52082,30.87922,19.95407,20.86236,21.86798,21.64153,24.64697,26.93983
2020-08-15 20:49:06,92267,12.51526,30.87922,19.94975,20.82559,21.9099,21.63315,24.6423,26.9379
2020-08-15 20:49:08,92268,12.53193,30.87922,19.97933,20.84556,21.90152,21.64878,24.71887,26.92443
2020-08-15 20:49:10,92269,12.50416,30.87922,20.03138,20.91801,21.87482,21.63475,24.67411,26.89954
2020-08-15 20:49:12,92270,12.50971,30.87922,19.98613,20.89281,21.83329,21.64314,24.69386,26.90624
2020-08-15 20:49:14,92271,12.51526,30.87922,19.97771,21.01358,21.7658,21.59959,24.62716,26.86634
2020-08-15 20:49:16,92272,12.52637,30.87922,19.96774,21.03716,21.72387,21.61637,24.58394,26.88447
2020-08-15 20:49:18,92273,12.53193,30.87922,20.05231,21.06806,21.70864,21.60374,24.59542,26.81076
2020-08-15 20:49:20,92274,12.52637,30.87922,20.10967,21.1364,21.69186,21.53246,24.63396,26.84025
