timestamp,temp.air.ambient.c,par.ambient.umol_m2_s1,conc.h2o.irga.ambient.mmol_mol,conc.co2.irga.ambient.umol_mol,P.irga.kPa
2022-01-12 00:09:52,9.648039,-0.3645631,6.643928,414.1746,94.01364
2022-01-12 00:09:54,9.700472,-0.3645631,6.643928,413.738,94.01364
2022-01-12 00:09:56,9.743349,-0.3645631,6.630285,412.1555,94.01364
2022-01-12 00:09:58,9.810969,-0.3645631,6.65757,413.5198,94.01364
2022-01-12 00:10:00,9.855774,0.0,6.65757,413.738,94.01364
2022-01-12 00:10:02,9.923393,0.0,6.65757,413.3833,94.01364
2022-01-12 00:10:04,9.888128,0.0,6.643928,412.8104,94.01364
2022-01-12 00:10:06,9.931965,0.0,6.630285,414.9386,94.01364
2022-01-12 00:10:08,9.924355,0.0,6.643928,414.3929,94.01364
2022-01-12 00:10:10,9.956704,0.3645631,6.65757,413.5198,94.01364
2022-01-12 00:10:12,9.965276,1.093689,6.671213,413.9563,94.01364
2022-01-12 00:10:14,9.956704,0.7291263,6.65757,413.6289,94.01364
2022-01-12 00:10:16,9.95007,0.7291263,6.671213,413.9018,94.01364
2022-01-12 00:10:18,9.897676,0.3645631,6.65757,413.0013,94.01364
2022-01-12 00:10:20,9.890066,0.7291263,6.671213,413.3015,94.01364
2022-01-12 00:10:22,9.854813,1.093689,6.684855,413.5743,94.01364
2022-01-12 00:10:24,9.794797,0.7291263,6.65757,413.6835,94.01364
2022-01-12 00:10:26,9.803371,0.7291263,6.65757,413.0013,94.01364
2022-01-12 00:10:28,9.786223,1.093689,6.65757,415.2933,94.01364
2022-01-12 00:10:30,9.804333,0.7291263,6.684855,413.9018,94.01364
2022-01-12 00:10:32,9.769073,0.7291263,6.643928,412.3192,94.01364
2022-01-12 00:10:34,9.76146,0.7291263,6.65757,414.0655,94.01364
2022-01-12 00:10:36,9.726199,0.7291263,6.65757,413.5198,94.01364
2022-01-12 00:10:38,9.72716,1.093689,6.65757,414.2019,94.01364
2022-01-12 00:10:40,9.708072,0.3645631,6.643928,413.3015,94.00818
2022-01-12 00:10:42,9.744311,0.3645631,6.65757,413.3288,94.00818
2022-01-12 00:10:44,9.726199,0.3645631,6.671213,413.6289,94.01364
2022-01-12 00:10:46,9.743349,0.0,6.684855,413.3833,94.01364
2022-01-12 00:10:48,9.744311,0.0,6.65757,412.8649,94.01364
2022-01-12 00:10:50,9.701434,-0.3645631,6.65757,413.3015,94.01364
2022-01-12 00:10:52,9.692859,-0.3645631,6.643928,414.0109,94.01364
2022-01-12 00:10:54,9.733801,-0.3645625,6.630285,414.1473,94.01364
2022-01-12 00:10:56,9.751927,-0.7291251,6.684855,413.3015,94.01364
2022-01-12 00:10:58,9.81294,-0.3645625,6.65757,413.1924,94.01364
2022-01-12 00:11:00,9.788163,-0.3645625,6.65757,414.2838,94.01364
2022-01-12 00:11:02,9.779589,-0.3645625,6.65757,413.7926,94.01364
2022-01-12 00:11:04,9.788163,-0.3645625,6.671213,412.101,94.01364
2022-01-12 00:11:06,9.72814,-0.3645625,6.65757,414.1746,94.01364
2022-01-12 00:11:08,9.752919,-0.3645625,6.671213,414.1473,94.01364
2022-01-12 00:11:10,9.796738,-0.3645625,6.65757,413.7926,94.01364
2022-01-12 00:11:12,9.761494,-0.3645625,6.65757,413.356,94.00272
2022-01-12 00:11:14,9.771015,-0.3645625,6.630285,413.2469,94.01364
2022-01-12 00:11:16,9.788163,-0.3645625,6.65757,414.3656,94.01364
2022-01-12 00:11:18,9.753865,-0.3645625,6.671213,413.6016,94.00818
2022-01-12 00:11:20,9.752919,0.0,6.643928,413.1924,94.00818
2022-01-12 00:11:22,9.770069,0.0,6.65757,414.1746,94.01364
2022-01-12 00:11:24,9.753865,0.0,6.671213,413.2469,94.00818
2022-01-12 00:11:26,9.770069,-0.3645625,6.65757,413.3288,94.01364
2022-01-12 00:11:28,9.744344,0.0,6.671213,414.0655,94.00818
2022-01-12 00:11:30,9.72814,0.3645625,6.65757,413.2469,94.01364
2022-01-12 00:11:32,9.67574,-0.3645625,6.643928,413.0013,94.01364
2022-01-12 00:11:34,9.692892,-0.3645625,6.671213,414.0655,94.01364
2022-01-12 00:11:36,9.735769,-0.3645625,6.65757,413.9018,94.00818
2022-01-12 00:11:38,9.727194,-0.3645625,6.65757,414.8295,94.01364
2022-01-12 00:11:40,9.72814,-0.3645625,6.643928,411.9918,94.00818
2022-01-12 00:11:42,9.753865,-0.3645625,6.643928,413.5743,94.01364
2022-01-12 00:11:44,9.796738,-0.3645625,6.65757,412.9195,94.01364
2022-01-12 00:11:46,9.832009,-0.3645625,6.630285,414.0655,94.01364
2022-01-12 00:11:48,9.84818,-0.3645625,6.65757,413.4379,94.01364
2022-01-12 00:11:50,9.84818,-0.3645625,6.684855,414.0655,94.01364
