timestamp,temp.air.ambient.c,par.ambient.umol_m2_s,h2o.irga.ambient.mmol_mol,co2.irga.ambient.umol_mol,P.irga.kPa
2021-04-01 00:05:30,8.372579,-2.188223,11.11587,408.7573,93.96098
2021-04-01 00:05:32,8.419129,-1.458815,11.11587,408.3754,93.95553
2021-04-01 00:05:34,8.399497,-2.188223,11.11587,408.3208,93.96098
2021-04-01 00:05:36,8.408099,-2.188223,11.12951,408.6482,93.95553
2021-04-01 00:05:38,8.400813,-1.823519,11.10223,409.2755,93.96098
2021-04-01 00:05:40,8.372579,-1.823519,11.07495,409.3028,93.95553
2021-04-01 00:05:42,8.355373,-2.188223,11.10223,409.3846,93.96645
2021-04-01 00:05:44,8.389783,-1.823519,11.04768,409.4665,93.95553
2021-04-01 00:05:46,8.389602,-2.188222,11.04823,409.033,93.96169
2021-04-01 00:05:48,8.434835,-1.094111,11.04823,408.9239,93.95624
2021-04-01 00:05:50,8.407917,-2.552926,11.02096,410.0969,93.95624
2021-04-01 00:05:52,8.42512,-2.188222,11.03459,408.9785,93.95624
2021-04-01 00:05:54,8.452037,-1.823519,11.06187,410.2333,93.95624
2021-04-01 00:05:56,8.448668,-1.458815,11.06187,410.2333,93.96169
2021-04-01 00:05:58,8.519728,-1.458815,11.04823,410.1515,93.96169
2021-04-01 00:06:00,8.459524,-1.094111,11.07551,409.7969,93.96715
2021-04-01 00:06:02,8.484215,-1.094111,11.07551,408.9785,93.95624
2021-04-01 00:06:04,8.476726,-1.094111,11.08915,409.4695,93.96169
2021-04-01 00:06:06,8.474471,-1.458815,11.08915,409.1967,93.96169
2021-04-01 00:06:08,8.513556,-1.094111,11.10279,408.5693,93.95624
2021-04-01 00:06:10,8.484215,-1.823519,11.08915,409.4149,93.96169
2021-04-01 00:06:12,8.524352,-1.823519,11.07551,408.5147,93.95624
2021-04-01 00:06:14,8.518616,-2.188222,11.10279,408.5147,93.95624
2021-04-01 00:06:16,8.510015,-1.094111,11.07551,408.5693,93.95624
2021-04-01 00:06:18,8.501416,-1.823519,11.10279,408.3238,93.95624
2021-04-01 00:06:20,8.464756,-1.094111,11.08915,408.2692,93.95624
2021-04-01 00:06:22,8.512241,-1.094111,11.07551,408.4602,93.96169
2021-04-01 00:06:24,8.492816,-1.458815,11.04823,408.6511,93.96169
2021-04-01 00:06:26,8.486612,-1.823519,11.04823,408.9785,93.95624
2021-04-01 00:06:28,8.448668,-2.188222,11.03459,407.9418,93.96715
2021-04-01 00:06:30,8.403467,-2.188222,11.04823,409.4695,93.96715
2021-04-01 00:06:32,8.425323,-1.823519,11.07551,408.2147,93.95624
2021-04-01 00:06:34,8.431466,-2.188222,11.04823,409.1967,93.95624
2021-04-01 00:06:36,8.415609,-1.823519,11.08915,407.5599,93.95624
2021-04-01 00:06:38,8.448668,-1.458815,11.07551,408.8694,93.95624
2021-04-01 00:06:40,8.468328,-2.188222,11.08915,408.1055,93.95624
2021-04-01 00:06:42,8.492816,-1.823519,11.08915,408.6238,93.95624
2021-04-01 00:06:44,8.492816,-1.458815,11.08915,409.0603,93.96715
2021-04-01 00:06:46,8.467013,-1.458815,11.10279,408.1601,93.96169
2021-04-01 00:06:48,8.495213,-1.823519,11.08915,406.496,93.95624
2021-04-01 00:06:50,8.501416,-1.823519,11.10279,407.4235,93.96169
2021-04-01 00:06:52,8.510015,-1.823519,11.13007,407.9418,93.95624
2021-04-01 00:06:54,8.486441,-1.823519,11.13007,408.4329,93.95624
2021-04-01 00:06:56,8.476726,-1.094111,11.14371,409.0058,93.96715
2021-04-01 00:06:58,8.459728,-1.458815,11.15735,408.2692,93.96169
2021-04-01 00:07:00,8.432813,-1.458815,11.14371,408.3783,93.96169
2021-04-01 00:07:02,8.448668,-1.094111,11.15735,408.8148,93.96715
2021-04-01 00:07:04,8.387344,-2.188222,11.14371,408.6511,93.95624
2021-04-01 00:07:06,8.415407,-1.458815,11.14371,408.542,93.95624
2021-04-01 00:07:08,8.422865,-1.458815,11.14371,407.9691,93.96169
2021-04-01 00:07:10,8.377661,-1.458815,11.15735,407.6691,93.96715
2021-04-01 00:07:12,8.389804,-1.458815,11.15735,409.3058,93.95624
2021-04-01 00:07:14,8.414263,-2.188222,11.18463,408.9785,93.95624
2021-04-01 00:07:16,8.417805,-1.458815,11.17099,408.2692,93.95624
2021-04-01 00:07:18,8.394865,-1.458815,11.14371,409.4695,93.96169
2021-04-01 00:07:20,8.467013,-1.458815,11.13007,408.4602,93.96715
2021-04-01 00:07:22,8.424008,-1.823519,11.10279,408.8966,93.96169
2021-04-01 00:07:24,8.473358,-2.188222,11.10279,407.7236,93.95624
2021-04-01 00:07:26,8.490559,-1.458815,11.13007,410.7789,93.96715
2021-04-01 00:07:28,8.54327,-1.458815,11.14371,408.9785,93.95624
2021-04-01 00:07:30,8.562724,-1.094111,11.13007,408.6511,93.95624
2021-04-01 00:07:32,8.553014,-1.823519,11.14371,408.3238,93.95624
2021-04-01 00:07:34,8.555411,-1.823519,11.17099,409.033,93.96169
2021-04-01 00:07:36,8.535815,-1.094111,11.14371,408.8148,93.96169
2021-04-01 00:07:38,8.525053,-1.823518,11.16992,408.5909,93.9549
2021-04-01 00:07:40,8.507854,-1.823518,11.12901,407.6635,93.9549
2021-04-01 00:07:42,8.483195,-1.094111,11.10173,409.1365,93.9549
2021-04-01 00:07:44,8.475942,-1.094111,11.12901,407.9363,93.9549
2021-04-01 00:07:46,8.44765,-1.458815,11.10173,407.9363,93.96036
2021-04-01 00:07:48,8.484309,-1.458815,11.11537,408.8092,93.96036
2021-04-01 00:07:50,8.482052,-1.094111,11.15628,407.7999,93.96036
2021-04-01 00:07:52,8.500397,-2.188222,11.12901,408.5909,93.96036
2021-04-01 00:07:54,8.511455,-1.823518,11.12901,408.3727,93.9549
2021-04-01 00:07:56,8.46485,-2.188222,11.15628,409.2456,93.9549
2021-04-01 00:07:58,8.46485,-2.188222,11.14264,408.9728,93.9549
2021-04-01 00:08:00,8.526196,-1.823518,11.14264,407.9363,93.96036
2021-04-01 00:08:02,8.528654,-1.823518,11.12901,408.7001,93.9549
2021-04-01 00:08:04,8.563051,-1.458815,11.12901,408.7546,93.9549
2021-04-01 00:08:06,8.596103,-1.823518,11.12901,409.1365,93.9549
2021-04-01 00:08:08,8.576649,-1.823518,11.12901,408.4818,93.9549
2021-04-01 00:08:10,8.538367,-2.188222,11.12901,408.4273,93.9549
2021-04-01 00:08:12,8.586391,-1.823518,11.14264,408.5909,93.9549
2021-04-01 00:08:14,8.553108,-1.458815,11.15628,408.1545,93.96036
2021-04-01 00:08:16,8.560595,-1.458815,11.12901,409.191,93.9549
2021-04-01 00:08:18,8.506772,-1.823518,11.15628,408.2636,93.9549
2021-04-01 00:08:20,8.53591,-1.458815,11.12901,407.9363,93.96036
2021-04-01 00:08:22,8.490652,-1.458815,11.12901,408.2636,93.9549
2021-04-01 00:08:24,8.491796,-2.552926,11.15628,408.3727,93.9549
2021-04-01 00:08:26,8.468626,-2.188222,11.15628,408.8092,93.96036
2021-04-01 00:08:28,8.48097,-1.823518,11.15628,407.9636,93.96036
2021-04-01 00:08:30,8.500397,-1.823518,11.14264,407.7181,93.96036
2021-04-01 00:08:32,8.473452,-2.552926,11.15628,407.8817,93.9549
2021-04-01 00:08:34,8.499252,-2.188222,11.14264,408.4818,93.96036
2021-04-01 00:08:36,8.473452,-2.188222,11.15628,408.5909,93.9549
2021-04-01 00:08:38,8.473452,-2.188222,11.14264,408.9183,93.96036
2021-04-01 00:08:40,8.470146,-1.823518,11.15628,408.5909,93.9549
2021-04-01 00:08:42,8.507854,-2.188222,11.15628,408.3727,93.96581
2021-04-01 00:08:44,8.508996,-2.188222,11.14264,408.6182,93.9549
2021-04-01 00:08:46,8.533652,-1.458815,11.14264,408.8637,93.96036
2021-04-01 00:08:48,8.532572,-1.823518,11.15628,408.9183,93.9549
2021-04-01 00:08:50,8.554453,-1.823518,11.14264,408.5364,93.96036
2021-04-01 00:08:52,8.581505,-1.094111,11.15628,407.8817,93.9549
2021-04-01 00:08:54,8.571651,-1.458815,11.14264,408.5364,93.9549
2021-04-01 00:08:56,8.560595,-1.458815,11.12901,408.3182,93.96036
2021-04-01 00:08:58,8.526429,-1.823518,11.15628,408.5364,93.9549
2021-04-01 00:09:00,8.523972,-1.458815,11.12901,408.5364,93.9549
2021-04-01 00:09:02,8.507854,-1.823518,11.14264,408.8092,93.9549
2021-04-01 00:09:04,8.47237,-1.823518,11.14264,408.4818,93.9549
2021-04-01 00:09:06,8.46734,-2.188222,11.12901,407.2271,93.96036
2021-04-01 00:09:08,8.491796,-2.188222,11.18356,408.1545,93.9549
2021-04-01 00:09:10,8.454056,-2.188222,11.16992,408.4818,93.96036
2021-04-01 00:09:12,8.48097,-2.188222,11.15628,408.2091,93.9549
2021-04-01 00:09:14,8.482317,-2.188222,11.18356,407.2544,93.9549
2021-04-01 00:09:16,8.542253,-1.823518,11.18356,407.9363,93.9549
2021-04-01 00:09:18,8.515371,-1.823518,11.18356,408.1818,93.9549
2021-04-01 00:09:20,8.54977,-1.823518,11.1972,408.5091,93.9549
2021-04-01 00:09:22,8.550852,-1.458815,11.1972,407.9908,93.9549
2021-04-01 00:09:24,8.523972,-1.458815,11.18356,407.9908,93.9549
2021-04-01 00:09:26,8.559451,-1.823518,11.18356,408.7546,93.9549
2021-04-01 00:09:28,8.533652,-1.823518,11.15628,408.5909,93.9549
2021-04-01 00:09:30,8.585372,-1.458815,11.18423,407.5033,93.95573
2021-04-01 00:09:32,8.586485,-1.823518,11.15695,408.649,93.96119
2021-04-01 00:09:34,8.601458,-1.823518,11.17059,408.5399,93.95573
2021-04-01 00:09:36,8.60257,-1.823518,11.17059,407.8307,93.95573
2021-04-01 00:09:38,8.585372,-1.823518,11.19787,408.1853,93.95573
2021-04-01 00:09:40,8.531553,-2.188222,11.21151,407.8579,93.95573
2021-04-01 00:09:42,8.601458,-1.823518,11.19787,408.4308,93.95573
2021-04-01 00:09:44,8.60257,-1.458815,11.15695,407.6124,93.95573
2021-04-01 00:09:46,8.601458,-1.823518,11.17059,407.1214,93.96119
2021-04-01 00:09:48,8.601458,-1.458815,11.18423,408.8127,93.95573
2021-04-01 00:09:50,8.564899,-1.823518,11.17059,407.8579,93.95573
2021-04-01 00:09:52,8.636963,-1.458815,11.19787,408.3762,93.95573
2021-04-01 00:09:54,8.610056,-1.823518,11.19787,407.5579,93.95573
2021-04-01 00:09:56,8.58426,-1.823518,11.21151,408.5399,93.95573
2021-04-01 00:09:58,8.611168,-1.823518,11.21151,408.0489,93.95573
2021-04-01 00:10:00,8.57455,-1.823518,11.19787,407.8852,93.95573
2021-04-01 00:10:02,8.601458,-1.823518,11.21151,407.8852,93.95573
2021-04-01 00:10:04,8.565951,-2.188222,11.21151,407.6942,93.95573
2021-04-01 00:10:06,8.618655,-2.188222,11.17059,409.0309,93.95573
2021-04-01 00:10:08,8.565951,-2.188222,11.18423,408.5399,93.95573
2021-04-01 00:10:10,8.626141,-2.552925,11.19787,407.6124,93.95573
2021-04-01 00:10:12,8.594205,-2.188222,11.18423,407.8579,93.95573
2021-04-01 00:10:14,8.55121,-1.458815,11.19787,408.5672,93.95573
2021-04-01 00:10:16,8.57455,-1.823518,11.21151,408.1034,93.95573
2021-04-01 00:10:18,8.576774,-2.188222,11.21151,408.4854,93.95573
2021-04-01 00:10:20,8.548752,-2.188222,11.19787,408.1307,93.96119
2021-04-01 00:10:22,8.513303,-2.552925,11.18423,407.6124,93.95573
2021-04-01 00:10:24,8.534011,-2.188222,11.21151,407.5033,93.95573
2021-04-01 00:10:26,8.548752,-1.458815,11.17059,408.5945,93.95573
2021-04-01 00:10:28,8.575662,-2.188222,11.18423,407.1487,93.95573
2021-04-01 00:10:30,8.547702,-2.188222,11.18423,408.2126,93.95573
2021-04-01 00:10:32,8.557351,-2.552925,11.17059,408.4308,93.95573
2021-04-01 00:10:34,8.5735,-1.458815,11.18423,408.4308,93.96119
2021-04-01 00:10:36,8.57455,-1.094111,11.17059,407.7761,93.95573
2021-04-01 00:10:38,8.565951,-1.458815,11.17059,407.5033,93.95573
2021-04-01 00:10:40,8.562003,-1.823518,11.21151,408.4308,93.95573
2021-04-01 00:10:42,8.548752,-1.458815,11.21151,408.2671,93.95573
2021-04-01 00:10:44,8.540153,-1.823518,11.18423,408.7036,93.96664
2021-04-01 00:10:46,8.522953,-1.823518,11.18423,407.5033,93.95573
2021-04-01 00:10:48,8.522953,-1.823518,11.21151,408.7308,93.96119
2021-04-01 00:10:50,8.494928,-2.188222,11.19787,408.1307,93.96119
2021-04-01 00:10:52,8.506866,-2.188222,11.21151,408.7581,93.96119
2021-04-01 00:10:54,8.480187,-1.823518,11.21151,407.6124,93.95573
2021-04-01 00:10:56,8.489665,-2.188222,11.21151,407.7488,93.95573
2021-04-01 00:10:58,8.484606,-2.188222,11.23879,408.2944,93.95573
2021-04-01 00:11:00,8.466292,-2.188222,11.23879,408.2398,93.95573
2021-04-01 00:11:02,8.446897,-1.823518,11.23879,409.2764,93.95573
2021-04-01 00:11:04,8.498266,-2.188222,11.25243,409.0855,93.95573
2021-04-01 00:11:06,8.553404,-1.823518,11.25243,409.631,93.95573
2021-04-01 00:11:08,8.552293,-1.823518,11.22515,409.7947,93.96664
2021-04-01 00:11:10,8.531553,-1.823518,11.22515,409.1946,93.95573
2021-04-01 00:11:12,8.514353,-1.823518,11.22515,408.8127,93.95573
2021-04-01 00:11:14,8.530502,-1.458815,11.18423,408.3217,93.95573
2021-04-01 00:11:16,8.540153,-1.823518,11.19787,410.1221,93.95573
2021-04-01 00:11:18,8.435897,-1.823518,11.14331,409.6856,93.95573
2021-04-01 00:11:20,8.325121,-1.458815,11.18423,408.4581,93.96119
2021-04-01 00:11:22,8.290832,-2.188221,11.184,409.4389,93.95545
2021-04-01 00:11:24,8.282228,-2.188221,11.184,408.866,93.95545
2021-04-01 00:11:26,8.274737,-2.188221,11.184,409.9299,93.95545
2021-04-01 00:11:28,8.248925,-2.552925,11.17036,408.9752,93.95545
2021-04-01 00:11:30,8.221998,-2.188221,11.19764,409.5753,93.95545
2021-04-01 00:11:32,8.242721,-2.188221,11.184,409.6571,93.95545
2021-04-01 00:11:34,8.196183,-2.188221,11.17036,409.6844,93.95545
2021-04-01 00:11:36,8.231717,-2.188221,11.184,409.3571,93.95545
2021-04-01 00:11:38,8.22949,-2.188221,11.19764,408.6205,93.95545
2021-04-01 00:11:40,8.258815,-2.188221,11.15672,410.2299,93.95545
2021-04-01 00:11:42,8.223112,-2.188221,11.184,410.2845,93.95545
2021-04-01 00:11:44,8.256416,-1.823518,11.184,409.6844,93.95545
2021-04-01 00:11:46,8.19507,-2.188221,11.184,410.3391,93.95545
