timestamp,Tc(1),Tc(2),Tc(3),Tc(4),Tc(5),Tc(6)
2022-01-11 10:23:00,13.78439,13.94247,13.85494,13.61765,,20.81297
2022-01-11 10:24:00,13.8608,13.98506,13.85705,13.6197,,20.80253
2022-01-11 10:25:00,13.75119,13.89029,13.88886,13.69033,,20.80756
2022-01-11 10:26:00,13.51483,13.61601,13.81104,13.65797,,20.80703
2022-01-11 10:27:00,13.63547,13.70874,14.16447,14.07097,,20.82546
2022-01-11 10:28:00,13.39501,13.52681,14.23444,14.17148,,20.82145
2022-01-11 10:29:00,13.50363,13.61281,14.26705,14.19175,,20.82611
2022-01-11 10:30:00,13.69213,13.77329,14.3077,14.24098,,20.84938
2022-01-11 10:31:00,13.42211,13.54541,14.34831,14.28871,,20.86042
2022-01-11 10:32:00,13.94717,13.93477,14.36441,14.32732,,20.85195
2022-01-11 10:33:00,14.13616,14.1095,14.44478,14.35189,,20.88273
2022-01-11 10:34:00,13.88614,13.97342,14.48938,14.39348,,20.86571
2022-01-11 10:35:00,14.32442,14.32777,14.14226,14.06631,,20.88366
2022-01-11 10:36:00,13.97708,14.08323,13.67732,13.51914,,20.86431
2022-01-11 10:37:00,13.61974,13.75061,13.8735,13.63128,,20.88738
2022-01-11 10:38:00,13.6074,13.82987,13.86434,13.59474,,20.88731
2022-01-11 10:39:00,13.65035,13.81987,14.02759,13.79211,,20.89148
2022-01-11 10:40:00,13.753,13.83683,13.87086,13.65981,,20.89565
2022-01-11 10:41:00,13.74635,13.85935,13.89757,13.60826,,20.91285
2022-01-11 10:42:00,13.7792,13.90392,13.91754,13.63549,,20.89756
2022-01-11 10:43:00,13.98553,14.07089,14.04641,13.72718,,20.91262
2022-01-11 10:44:00,14.03686,14.09171,14.492,14.21379,,20.91445
2022-01-11 10:45:00,14.00055,14.02873,14.26954,14.21862,,20.93203
2022-01-11 10:46:00,13.90993,14.00715,13.98035,13.81841,,20.93703
2022-01-11 10:47:00,13.62294,13.77351,14.03646,13.90831,,20.96062
2022-01-11 10:48:00,13.73029,13.79001,14.31633,14.02787,,20.95438
2022-01-11 10:49:00,13.90407,13.84924,14.53574,14.32444,,20.94941
2022-01-11 10:50:00,14.10377,14.11707,14.6803,14.51201,,20.94056
2022-01-11 10:51:00,14.21321,14.27873,14.42001,14.22115,,20.9489
2022-01-11 10:52:00,14.3807,14.36926,14.54652,14.30892,,20.96037
2022-01-11 10:53:00,14.68059,14.68866,14.89585,14.5559,,20.93936
2022-01-11 10:54:00,14.73963,14.79082,14.52948,14.36934,,20.93047
2022-01-11 10:55:00,14.45461,14.52992,14.37447,14.19875,,20.93843
2022-01-11 10:56:00,14.18041,14.29764,13.79465,13.70886,,20.94744
2022-01-11 10:57:00,13.85518,13.99494,13.86003,13.65625,,20.9651
2022-01-11 10:58:00,13.71123,13.85791,14.03246,13.86027,,20.9609
2022-01-11 10:59:00,13.75127,13.81195,14.08949,13.9997,,20.98375
2022-01-11 11:00:00,13.90072,13.92993,14.23692,14.12801,,20.99063
2022-01-11 11:01:00,14.04714,14.13337,14.17495,13.97498,,20.97475
2022-01-11 11:02:00,13.78461,13.90109,13.49155,13.28953,,20.98409
2022-01-11 11:03:00,13.90259,13.9776,14.0162,13.66196,,20.97872
2022-01-11 11:04:00,14.1004,14.14937,14.27978,14.04954,,20.98977
2022-01-11 11:05:00,14.04433,14.12836,14.7521,14.54035,,20.98821
2022-01-11 11:06:00,14.27522,14.36604,14.80412,14.63109,,20.98136
2022-01-11 11:07:00,14.62483,14.71239,14.76786,14.57839,,20.98886
2022-01-11 11:08:00,14.68791,14.69014,14.38795,14.27198,,20.99325
2022-01-11 11:09:00,14.73149,14.67979,14.18804,14.00304,,20.99694
2022-01-11 11:10:00,14.76779,14.73517,14.10256,,,20.98791
