timestamp,plot,type,chamber,status,chamber_block,counter,conc.cos.1.pmol_mol,conc.co2.1.umol_mol,conc.co2.2.umol_mol,conc.h2o.mmol_mol,conc.co.nmol_mol,conc.cos.2.pmol_mol,conc.cos.mean.pmol_mol,conc.co2.mean.umol_mol,conc.cos.mean_sd.pmol_mol,conc.co2.mean_sd.umol_mol,temp.air.ambient.c,par.ambient.umol_m2_s1,conc.h2o.irga.ambient.mmol_mol,conc.co2.irga.ambient.umol_mol,P.irga.kPa,par.chb_irr1.umol_m2_s1,par.chb_ctr2.umol_m2_s1,par.chs_irr3.umol_m2_s1,par.chs_ctr4.umol_m2_s1,par.chs_irr5.umol_m2_s1,par.chs_ctr6.umol_m2_s1,temp.leaf.chb_irr1.c,temp.air.chb_irr1.c,temp.leaf.chb_ctr2.c,temp.air.chb_ctr2.c,temp.laserbox.c,pump.flow.chb_irr1.slpm,pump.flow.chb_ctr2.slpm,pump.flow.chs_irr3.slpm,pump.flow.chs_ctr4.slpm,pump.flow.chs_irr5.slpm,pump.flow.chs_ctr6.slpm,day_night,par.current.chamber.umol_m2_s1,temp.leaf.current.chamber.c,temp.soil.current.chamber.c,temp.air.current.chamber.c,pump.flow.current.chamber.slpm,surface.area.m2,pump.flow.unfiltered.current.chamber.slpm,flag,conc.h2o.calibrated.mmol_mol,conc.co2.calibrated.umol_mol
2022-01-13 17:44:33,amb,soil,amb,amb,169.0,-26,369.6730422264875,423.93205550565364,423.91372424178377,8.274668,56.85361,366.1225558678366,367.89779904716204,423.9228898737187,2.510572980712394,0.012962160990103654,10.85157,0.0,8.9598545,413.03265,,0.0,0.0,,,,,10.59695,10.682827,10.756194500000001,10.710379999999999,20.96825,,,1.002358,2.0251725,,,0,,,,,,,,3,,413.12744722964146
2022-01-13 17:44:34,amb,soil,amb,amb,169.0,-25,370.09823382231974,423.91372424178377,423.93205550565364,8.26082,56.9608,369.6730422264875,369.88563802440365,423.9228898737187,0.3006558607165107,0.012962160990103654,10.86401,0.0,8.946217,413.3872,93.76845,0.0,0.0,,,,,10.596779999999999,10.682469333333334,10.757551000000001,10.712396666666667,20.968153333333333,,,1.003722,2.028582,,,0,,,,,,,,3,,413.12744722964146
2022-01-13 17:44:35,amb,soil,amb,amb,169.0,-24,366.22403105292017,423.8719289601607,423.8766427137272,8.268435,58.74764,366.227202152454,366.22561660268707,423.87428583694395,0.002242305984208862,0.0033331271117386426,10.869825,0.0,8.966673,413.65995,,0.0,0.0,,,,,10.59661,10.682111666666668,10.758907500000001,10.714413333333333,20.96805666666667,,,1.00304,2.026877,,,0,,,,,,,,3,,413.1191139975329
2022-01-13 17:44:36,amb,soil,amb,amb,169.0,-23,371.9513010693721,423.8993734809258,423.9040872344923,8.275944,59.33195,371.9431971483411,371.94724910885657,423.9017303577091,0.005730337515236153,0.003333127111698448,10.87564,0.0,8.987129,413.9327,93.76845,0.0,0.0,,,,,10.59644,10.681754,10.760264000000001,10.716429999999999,20.96796,,,1.002358,2.025172,,,0,,,,,,,,3,,413.123819400146
2022-01-13 17:44:37,amb,soil,amb,amb,169.0,-22,362.03606560186455,423.83579018281733,423.8292956779035,8.265659,59.90168,362.0497189470798,362.04289227447214,423.83254293036043,0.009654372987571515,0.0045923084650398,10.860695,0.0,8.987129,413.65995,,0.0,0.0,,,,,10.59627,10.681396333333334,10.761620500000001,10.718446666666667,20.967863333333334,,,1.00304,2.025172,,,0,,,,,,,,3,,413.1119571160776
2022-01-13 17:44:38,amb,soil,amb,amb,169.0,-21,369.14470180970665,423.9019922329072,423.90492523512637,8.270242,60.40737,369.1338672196326,369.1392845146696,423.9034587340168,0.007661212112750456,0.0020739457583972914,10.84575,0.0,8.987129,413.3872,93.76845,0.0,0.0,,,,,10.5961,10.681038666666668,10.762977000000001,10.720463333333333,20.967766666666666,,,1.003722,2.025172,,,0,,,,,,,,3,,413.12411573275324
2022-01-13 17:44:39,amb,soil,amb,amb,169.0,-20,372.8423800383877,423.93394100708025,423.9450445154814,8.287868,60.18084,372.8281981765835,372.8352891074856,423.9394927612808,0.010028090651613024,0.007851366085424336,10.84575,0.0,8.9803105,412.869,,0.0,0.0,,,,,10.59593,10.680681,10.764333500000001,10.72248,20.967670000000002,,,1.003722,2.0200579999999997,,,0,,,,,,,,3,,413.13029381862685
2022-01-13 17:44:40,amb,soil,amb,amb,169.0,-19,361.437080134357,423.84741744161477,423.84657944098075,8.286486,60.12961,361.4485313271182,361.44280573073763,423.8469984412977,0.008097216054098721,0.0005925559309534285,10.84575,0.0,8.973492,412.3508,93.76845,0.0,0.0,,,,,10.59576,10.680323333333334,10.765690000000001,10.724496666666667,20.967573333333334,,,1.003722,2.014944,,,0,,,,,,,,3,,413.11443553424783
2022-01-13 17:44:41,amb,soil,amb,amb,169.0,-18,364.1871281190019,423.84741744161477,423.90953423861356,8.262442,60.145,361.4485313271182,362.8178297230601,423.87847584011416,1.9364803624766944,0.0439232083834352,10.84204,0.0,8.973492,412.9781,,0.0,0.0,,,,,10.59559,10.679965666666668,10.767046500000001,10.726513333333333,20.967476666666666,,,1.002358,2.025172,,,0,,,,,,,,3,,413.11983237961124
2022-01-13 17:44:42,amb,soil,amb,amb,169.0,-17,366.7434747737867,423.90953423861356,423.91466699249713,8.280647,59.90625,364.1871281190019,365.4653014463943,423.91210061555535,1.807610054661891,0.003629405077235454,10.83833,0.0,8.973492,413.6054,93.76845,0.0,0.0,,,,,10.595419999999999,10.679608,10.768403000000001,10.72853,20.967380000000002,,,1.000994,2.0354,,,0,,,,,,,,3,,413.1255973957898
